wavelength,mTagBFP2 ex,mTagBFP2 em
310,0.0205,
311,0.0203,
312,0.02,
313,0.0195,
314,0.0189,
315,0.0184,
316,0.018,
317,0.0179,
318,0.0177,
319,0.0175,
320,0.0175,
321,0.0178,
322,0.018,
323,0.0181,
324,0.0181,
325,0.0183,
326,0.0189,
327,0.0199,
328,0.0211,
329,0.0224,
330,0.024,
331,0.0256,
332,0.0273,
333,0.029,
334,0.031,
335,0.0335,
336,0.0364,
337,0.0394,
338,0.0426,
339,0.0462,
340,0.0504,
341,0.055,
342,0.0597,
343,0.0645,
344,0.0692,
345,0.074,
346,0.0796,
347,0.0866,
348,0.0946,
349,0.103,
350,0.1117,
351,0.1209,
352,0.1305,
353,0.1406,
354,0.1513,
355,0.1622,
356,0.1724,
357,0.1822,
358,0.1941,
359,0.2082,
360,0.2213,
361,0.2303,
362,0.2384,
363,0.2509,
364,0.2693,
365,0.2901,
366,0.31,
367,0.329,
368,0.3495,
369,0.3723,
370,0.3956,
371,0.4176,
372,0.4398,
373,0.4646,
374,0.492,
375,0.5178,
376,0.5374,
377,0.5515,
378,0.5672,
379,0.5903,
380,0.6189,
381,0.6474,
382,0.6718,
383,0.6919,
384,0.7104,
385,0.7296,
386,0.7491,
387,0.7683,
388,0.7902,
389,0.8161,
390,0.8411,
391,0.8598,
392,0.8739,
393,0.8884,
394,0.9043,
395,0.9218,
396,0.9422,
397,0.9629,
398,0.9786,
399,0.9878,
400,0.9937,
401,0.9986,
402,1.0,
403,0.9933,
404,0.9779,
405,0.9588,
406,0.9416,
407,0.9266,
408,0.9094,0.0045
409,0.8868,0.0048
410,0.8596,0.0054
411,0.8315,0.0063
412,0.8043,0.0073
413,0.7771,0.0086
414,0.749,0.0101
415,0.7203,0.012
416,0.6913,0.0142
417,0.6613,0.0167
418,0.6296,0.0198
419,0.5964,0.0236
420,0.5623,0.028
421,0.5291,0.0332
422,0.4977,0.0392
423,0.4669,0.0463
424,0.4351,0.0548
425,0.4037,0.0645
426,0.375,0.0754
427,0.3492,0.0879
428,0.3249,0.1024
429,0.3007,0.1188
430,0.2767,0.1373
431,0.2539,0.1576
432,0.2326,0.1804
433,0.2124,0.2062
434,0.1931,0.2354
435,0.1748,0.2675
436,0.1578,0.3022
437,0.1425,0.3391
438,0.1283,0.3787
439,0.1145,0.4214
440,0.1012,0.4663
441,0.0889,0.5114
442,0.0781,0.5559
443,0.0688,0.6005
444,0.0604,0.6462
445,0.0527,0.6927
446,0.0455,0.7386
447,0.0392,0.7824
448,0.0339,0.8235
449,0.0301,0.8614
450,0.0287,0.8956
451,,0.9254
452,,0.9501
453,,0.9699
454,,0.985
455,,0.9952
456,,1.0
457,,0.9994
458,,0.9945
459,,0.9863
460,,0.9754
461,,0.9621
462,,0.9472
463,,0.9312
464,,0.9145
465,,0.8978
466,,0.8812
467,,0.8649
468,,0.8488
469,,0.8333
470,,0.819
471,,0.8059
472,,0.7928
473,,0.7794
474,,0.7659
475,,0.7524
476,,0.7392
477,,0.7262
478,,0.7129
479,,0.6991
480,,0.6847
481,,0.6704
482,,0.6563
483,,0.6422
484,,0.6279
485,,0.6129
486,,0.5969
487,,0.5801
488,,0.5632
489,,0.5464
490,,0.5293
491,,0.512
492,,0.4947
493,,0.4776
494,,0.461
495,,0.4452
496,,0.4299
497,,0.4151
498,,0.4006
499,,0.3864
500,,0.3724
501,,0.359
502,,0.3463
503,,0.334
504,,0.3217
505,,0.3098
506,,0.2984
507,,0.2876
508,,0.2775
509,,0.2679
510,,0.2585
511,,0.2495
512,,0.2408
513,,0.2324
514,,0.2241
515,,0.2162
516,,0.2087
517,,0.2014
518,,0.1944
519,,0.1874
520,,0.1806
521,,0.1739
522,,0.1675
523,,0.1614
524,,0.1557
525,,0.1501
526,,0.1448
527,,0.1396
528,,0.1344
529,,0.1292
530,,0.1241
531,,0.1192
532,,0.1147
533,,0.1102
534,,0.1058
535,,0.1014
536,,0.0973
537,,0.0934
538,,0.0898
539,,0.0863
540,,0.0828
541,,0.0794
542,,0.0761
543,,0.0731
544,,0.0702
545,,0.0674
546,,0.0646
547,,0.062
548,,0.0595
549,,0.0572
550,,0.055
551,,0.0529
552,,0.0509
553,,0.049
554,,0.0471
555,,0.0453
556,,0.0436
557,,0.0419
558,,0.0403
559,,0.0388
560,,0.0373
561,,0.0358
562,,0.0345
563,,0.0331
564,,0.0319
565,,0.0306
566,,0.0295
567,,0.0283
568,,0.0272
569,,0.0261
570,,0.0251
571,,0.0241
572,,0.0232
573,,0.0223
574,,0.0214
575,,0.0205
576,,0.0197
577,,0.019
578,,0.0183
579,,0.0176
580,,0.0169
581,,0.0162
582,,0.0155
583,,0.0149
584,,0.0144
585,,0.0138
586,,0.0133
587,,0.0128
588,,0.0123
589,,0.0118
590,,0.0113
591,,0.0109
592,,0.0105
593,,0.0101
594,,0.0097
595,,0.0093
596,,0.009
597,,0.0087
598,,0.0083
599,,0.008
600,,0.0077
601,,0.0074
602,,0.0071
603,,0.0069
604,,0.0066
605,,0.0064
606,,0.0061
607,,0.0059
608,,0.0057
609,,0.0055
610,,0.0053
611,,0.0051
612,,0.0049
613,,0.0048
614,,0.0046
615,,0.0044
616,,0.0042
617,,0.0041
618,,0.004
619,,0.0038
620,,0.0037
621,,0.0035
622,,0.0034
623,,0.0032
624,,0.0031
625,,0.003
626,,0.0029
627,,0.0028
628,,0.0027
629,,0.0026
630,,0.0025
631,,0.0024
632,,0.0023
633,,0.0022
634,,0.0022
635,,0.0021
636,,0.002
637,,0.002
638,,0.0019
639,,0.0018
640,,0.0018
641,,0.0017
642,,0.0016
643,,0.0016
644,,0.0016
645,,0.0015
646,,0.0015
647,,0.0014
648,,0.0014
649,,0.0013
650,,0.0013
